kind	class	method	param	index	uri	field
METHOD	com.netflix.eureka.ServerRequestAuthFilter	init(javax.servlet.FilterConfig)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/ServerRequestAuthFilter.java	serverConfig
METHOD	com.netflix.eureka.cluster.PeerEurekaNodes	start()	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/PeerEurekaNodes.java	taskExecutor
METHOD	com.netflix.eureka.cluster.PeerEurekaNodes	shutdown()	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/PeerEurekaNodes.java	peerEurekaNodes
METHOD	com.netflix.eureka.cluster.PeerEurekaNodes	shutdown()	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/PeerEurekaNodes.java	peerEurekaNodeUrls
METHOD	com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	init(com.netflix.eureka.cluster.PeerEurekaNodes)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/PeerAwareInstanceRegistryImpl.java	peerEurekaNodes
METHOD	com.netflix.eureka.registry.AbstractInstanceRegistry	initializedResponseCache()	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	responseCache
METHOD	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withAppName(java.lang.String)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	appName
METHOD	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withId(java.lang.String)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	id
METHOD	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withLastDirtyTimestamp(java.lang.Long)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	lastDirtyTimestamp
METHOD	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withInstanceInfo(com.netflix.appinfo.InstanceInfo)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	instanceInfo
METHOD	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withAction(com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	action
METHOD	com.netflix.eureka.lease.Lease	serviceUp()	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/lease/Lease.java	serviceUpTimestamp
METHOD	com.netflix.eureka.registry.AwsInstanceRegistry	init(com.netflix.eureka.cluster.PeerEurekaNodes)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AwsInstanceRegistry.java	awsAsgUtil
METHOD	com.netflix.eureka.registry.AwsInstanceRegistry	init(com.netflix.eureka.cluster.PeerEurekaNodes)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AwsInstanceRegistry.java	instanceStatusOverrideRule
METHOD	com.netflix.eureka.util.batcher.TrafficShaper	transmissionDelay()	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/util/batcher/TrafficShaper.java	lastCongestionError
METHOD	com.netflix.eureka.RateLimitingFilter	init(javax.servlet.FilterConfig)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/RateLimitingFilter.java	serverConfig
